DC-CO;BA_100_0_4.af;66;True
DC-CO;BA_100_60_1.af;11;True
DC-CO;BA_100_80_5.af;36;True
DC-CO;BA_100_90_1.af;93;True
DC-CO;BA_120_10_2.af;6;False
DC-CO;BA_120_20_1.af;109;True
DC-CO;BA_120_20_2.af;117;True
DC-CO;BA_140_0_5.af;53;True
DC-CO;BA_140_20_4.af;100;True
DC-CO;BA_140_80_2.af;96;True
DC-CO;BA_140_90_5.af;66;True
DC-CO;BA_160_0_2.af;153;True
DC-CO;BA_160_20_3.af;99;True
DC-CO;BA_160_40_2.af;52;True
DC-CO;BA_160_40_3.af;78;True
DC-CO;BA_160_50_1.af;64;True
DC-CO;BA_160_60_1.af;14;True
DC-CO;BA_160_60_4.af;23;True
DC-CO;BA_160_70_1.af;92;True
DC-CO;BA_160_90_2.af;138;True
DC-CO;BA_180_30_1.af;35;True
DC-CO;BA_180_40_4.af;169;True
DC-CO;BA_180_80_5.af;35;True
DC-CO;BA_200_0_2.af;142;True
DC-CO;BA_200_0_4.af;32;True
DC-CO;ER_100_100_5.af;9;False
DC-CO;ER_100_100_7.af;91;False
DC-CO;ER_100_30_5.af;67;False
DC-CO;ER_100_80_10.af;21;False
DC-CO;ER_200_10_2.af;45;False
DC-CO;ER_200_20_3.af;73;False
DC-CO;ER_200_20_6.af;47;False
DC-CO;ER_200_30_5.af;95;False
DC-CO;ER_200_60_6.af;50;False
DC-CO;ER_200_80_5.af;34;False
DC-CO;ER_300_10_9.af;134;False
DC-CO;ER_300_20_2.af;78;False
DC-CO;ER_300_30_7.af;238;False
DC-CO;ER_300_30_8.af;205;False
DC-CO;ER_300_60_5.af;85;False
DC-CO;ER_300_80_2.af;59;False
DC-CO;ER_300_90_2.af;26;False
DC-CO;ER_400_20_9.af;245;False
DC-CO;ER_400_30_9.af;314;False
DC-CO;ER_400_40_7.af;173;False
DC-CO;ER_400_50_4.af;31;False
DC-CO;ER_400_60_5.af;4;False
DC-CO;ER_500_100_5.af;371;False
DC-CO;ER_500_60_5.af;45;False
DC-CO;ER_500_80_6.af;142;False
DC-CO;Large-result_b1.af;8055;True
DC-CO;Large-result_b14.af;1824;True
DC-CO;Large-result_b15.af;833;True
DC-CO;Large-result_b16.af;2424;True
DC-CO;Large-result_b18.af;2517;True
DC-CO;Large-result_b20.af;962;True
DC-CO;Large-result_b22.af;6293;True
DC-CO;Large-result_b5.af;3919;True
DC-CO;Large-result_b6.af;2963;True
DC-CO;Medium-result_b1.af;323;False
DC-CO;Medium-result_b12.af;1446;True
DC-CO;Medium-result_b17.af;325;False
DC-CO;Medium-result_b19.af;431;False
DC-CO;Medium-result_b21.af;228;False
DC-CO;Medium-result_b22.af;1014;False
DC-CO;Medium-result_b26.af;91;False
DC-CO;Medium-result_b27.af;701;False
DC-CO;Medium-result_b28.af;367;False
DC-CO;Medium-result_b29.af;896;False
DC-CO;Medium-result_b30.af;1505;False
DC-CO;Medium-result_b4.af;785;False
DC-CO;Medium-result_b7.af;246;False
DC-CO;Medium-result_b8.af;1372;False
DC-CO;Small-result_b26.af;88;False
DC-CO;Small-result_b27.af;119;False
DC-CO;WS_100_12_90_30.af;55;True
DC-CO;WS_100_18_30_10.af;89;False
DC-CO;WS_100_24_70_50.af;47;False
DC-CO;WS_100_24_70_70.af;60;False
DC-CO;WS_100_6_10_30.af;74;True
DC-CO;WS_100_6_10_50.af;31;True
DC-CO;WS_100_6_30_10.af;71;False
DC-CO;WS_100_6_70_70.af;21;True
DC-CO;WS_200_20_50_70.af;18;False
DC-CO;WS_200_20_70_30.af;84;False
DC-CO;WS_200_20_90_10.af;68;False
DC-CO;WS_200_28_70_10.af;183;False
DC-CO;WS_200_28_70_50.af;4;False
DC-CO;WS_200_8_90_30.af;112;False
DC-CO;WS_300_8_10_70.af;113;True
DC-CO;WS_400_16_10_30.af;6;False
DC-CO;WS_400_24_30_10.af;348;False
DC-CO;WS_400_24_50_10.af;266;False
DC-CO;WS_400_32_30_30.af;76;False
DC-CO;WS_400_32_70_70.af;112;False
DC-CO;WS_400_8_30_30.af;18;False
DC-CO;WS_500_16_10_70.af;25;False
DC-CO;WS_500_16_50_50.af;62;False
DC-CO;WS_500_16_70_50.af;135;False
DC-CO;WS_500_8_70_70.af;331;False
DC-CO;a1210993_20150717_0403.gml.80.af;6333;True
DC-CO;admbuster_1000.af;265;True
DC-CO;admbuster_10000.af;1985;True
DC-CO;admbuster_100000.af;57218;False
DC-CO;admbuster_1000000.af;114020;True
DC-CO;admbuster_1500000.af;1167656;True
DC-CO;admbuster_2000.af;1339;True
DC-CO;admbuster_20000.af;7481;True
DC-CO;admbuster_200000.af;58346;False
DC-CO;admbuster_2000000.af;1082177;True
DC-CO;admbuster_2500000.af;445573;True
DC-CO;admbuster_4000.af;3517;True
DC-CO;admbuster_50000.af;34323;True
DC-CO;admbuster_500000.af;161479;False
DC-CO;admbuster_6000.af;5172;True
DC-CO;admbuster_8000.af;4736;True
DC-CO;afinput_exp_acyclic_depvary_step5_batch_yyy01.af;111;True
DC-CO;afinput_exp_acyclic_depvary_step5_batch_yyy07.af;35;False
DC-CO;afinput_exp_acyclic_depvary_step5_batch_yyy08.af;236;False
DC-CO;afinput_exp_acyclic_depvary_step6_batch_yyy07.af;3;False
DC-CO;afinput_exp_acyclic_depvary_step6_batch_yyy08.af;43;True
DC-CO;afinput_exp_acyclic_depvary_step6_batch_yyy09.af;91;True
DC-CO;afinput_exp_acyclic_depvary_step6_batch_yyy10.af;20;False
DC-CO;afinput_exp_acyclic_depvary_step7_batch_yyy02.af;1;False
DC-CO;afinput_exp_acyclic_depvary_step7_batch_yyy08.af;359;False
DC-CO;afinput_exp_acyclic_depvary_step8_batch_yyy03.af;74;False
DC-CO;afinput_exp_acyclic_depvary_step8_batch_yyy07.af;26;True
DC-CO;afinput_exp_acyclic_depvary_step8_batch_yyy09.af;74;False
DC-CO;afinput_exp_acyclic_depvary_step8_batch_yyy10.af;37;False
DC-CO;afinput_exp_acyclic_indvary2_step1_batch_yyy04.af;112;False
DC-CO;afinput_exp_acyclic_indvary2_step2_batch_yyy02.af;737;False
DC-CO;afinput_exp_acyclic_indvary2_step2_batch_yyy10.af;8;False
DC-CO;afinput_exp_cycles_depvary_step3_batch_yyy02.af;189;False
DC-CO;afinput_exp_cycles_depvary_step3_batch_yyy10.af;98;False
DC-CO;afinput_exp_cycles_depvary_step4_batch_yyy04.af;283;False
DC-CO;afinput_exp_cycles_indvary1_step1_batch_yyy07.af;236;True
DC-CO;afinput_exp_cycles_indvary1_step3_batch_yyy05.af;59;True
DC-CO;afinput_exp_cycles_indvary1_step4_batch_yyy03.af;7;False
DC-CO;afinput_exp_cycles_indvary2_step1_batch_yyy01.af;407;True
DC-CO;afinput_exp_cycles_indvary2_step1_batch_yyy06.af;37;True
DC-CO;afinput_exp_cycles_indvary2_step1_batch_yyy09.af;229;False
DC-CO;bw2.pfile-3-04.pddl.2.cnf.af;803;True
DC-CO;bw2.pfile-3-06.pddl.1.cnf.af;393;False
DC-CO;bw2.pfile-4-05.pddl.2.cnf.af;1554;True
DC-CO;bw3.pfile-3-03.pddl.4.cnf.af;275;True
DC-CO;bw3.pfile-3-08.pddl.3.cnf.af;270;True
DC-CO;bw3.pfile-4-02.pddl.6.cnf.af;3521;True
DC-CO;bw3.pfile-4-06.pddl.2.cnf.af;167;True
DC-CO;bw3.pfile-4-06.pddl.5.cnf.af;118;False
DC-CO;bw3.pfile-4-07.pddl.6.cnf.af;3281;True
DC-CO;charlottesville_va_2016-01.gml.80.af;271;False
DC-CO;chicago_2016-01.gml.50.af;11874;True
DC-CO;citybus_20151001_1343.gml.20.af;475;True
DC-CO;commute.org_20140813_1738.gml.20.af;68;True
DC-CO;commuteorg-shuttle_20150308_1938.gml.20.af;115;False
DC-CO;commuteorg-shuttle_20150308_1938.gml.50.af;5;True
DC-CO;covington_2016-01.gml.50.af;83;True
DC-CO;crusti_g2io_125_0.5_31_29.af;38;False
DC-CO;crusti_g2io_125_0.5_31_32.af;28;False
DC-CO;crusti_g2io_125_0.5_31_33.af;1989;False
DC-CO;crusti_g2io_125_0.5_31_48.af;2746;False
DC-CO;crusti_g2io_125_0.5_31_5.af;294;False
DC-CO;crusti_g2io_150_0.1_255_18.af;24659;False
DC-CO;crusti_g2io_150_0.1_255_26.af;31064;False
DC-CO;crusti_g2io_175_0.2_511_10.af;43600;True
DC-CO;crusti_g2io_175_0.2_511_13.af;63484;True
DC-CO;crusti_g2io_175_0.2_511_32.af;85595;True
DC-CO;crusti_g2io_175_0.2_511_36.af;27739;True
DC-CO;crusti_g2io_175_0.2_511_48.af;16805;True
DC-CO;crusti_g2io_200_0.1_127_12.af;8278;False
DC-CO;crusti_g2io_200_0.1_127_19.af;17385;False
DC-CO;crusti_g2io_200_0.1_127_38.af;17418;False
DC-CO;crusti_g2io_200_0.1_127_46.af;2669;False
DC-CO;crusti_g2io_200_0.1_127_6.af;4364;False
DC-CO;crusti_g2io_200_0.1_127_8.af;17127;False
DC-CO;crusti_g2io_225_0.1_31_25.af;2313;False
DC-CO;crusti_g2io_225_0.2_127_2.af;20958;True
DC-CO;crusti_g2io_225_0.2_127_31.af;10777;True
DC-CO;crusti_g2io_225_0.2_127_41.af;10588;True
DC-CO;crusti_g2io_250_0.2_255_12.af;5986;True
DC-CO;crusti_g2io_250_0.2_255_15.af;55653;True
DC-CO;crusti_g2io_250_0.2_255_18.af;57135;True
DC-CO;crusti_g2io_250_0.2_255_24.af;27098;True
DC-CO;crusti_g2io_250_0.2_255_31.af;20781;True
DC-CO;crusti_g2io_250_0.2_255_43.af;10911;True
DC-CO;crusti_g2io_300_0.2_255_11.af;5353;True
DC-CO;crusti_g2io_300_0.2_255_17.af;38504;True
DC-CO;crusti_g2io_300_0.2_255_26.af;27117;True
DC-CO;crusti_g2io_350_0.5_255_40.af;12135;True
DC-CO;cts_20130915_1535.gml.80.af;231;True
DC-CO;empresa-publica-de-transportes-e-circulao_20141104_0243.gml.20.af;27;True
DC-CO;ferry2.pfile-L2-C1-02.pddl.2.cnf.af;7;True
DC-CO;ferry2.pfile-L2-C2-01.pddl.6.cnf.af;275;True
DC-CO;ferry2.pfile-L2-C2-010.pddl.1.cnf.af;4;True
DC-CO;ferry2.pfile-L2-C2-04.pddl.2.cnf.af;132;True
DC-CO;ferry2.pfile-L2-C2-07.pddl.2.cnf.af;243;True
DC-CO;ferry2.pfile-L2-C3-05.pddl.1.cnf.af;20;False
DC-CO;ferry2.pfile-L2-C3-09.pddl.1.cnf.af;105;True
DC-CO;ferry2.pfile-L2-C4-03.pddl.1.cnf.af;49;True
DC-CO;ferry2.pfile-L2-C4-06.pddl.2.cnf.af;486;True
DC-CO;ferry2.pfile-L2-C4-07.pddl.1.cnf.af;84;True
DC-CO;ferry2.pfile-L2-C4-09.pddl.6.cnf.af;505;True
DC-CO;ferry2.pfile-L3-C1-010.pddl.3.cnf.af;302;True
DC-CO;ferry2.pfile-L3-C1-08.pddl.2.cnf.af;246;True
DC-CO;ferry2.pfile-L3-C2-03.pddl.2.cnf.af;278;True
DC-CO;ferry2.pfile-L3-C2-04.pddl.2.cnf.af;254;True
DC-CO;ferry2.pfile-L3-C2-08.pddl.5.cnf.af;423;True
DC-CO;g_1160_0.02_10.af;407;False
DC-CO;g_1191_0.02_8.af;998;False
DC-CO;g_1265_0.05_3.af;387;False
DC-CO;g_1400_0.02_9.af;1179;False
DC-CO;g_1477_0.03_8.af;671;True
